gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
175; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
175; 12; 6556; 3.066; -0.2736; 7.5541; 0.6537; 3.1347; -0.861; 3.9427
175; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
175; 17; 7217; 2.392; 3.4846; -0.6407; 0.6682; 1.4135; 2.2798; 1.326
175; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
175; 41; 1560; 4.5176; 3.6473; 0.1994; 3.7834; 1.5111; -0.8405; 2.8774
180; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
180; 12; 6556; 5.1424; 0.3105; 0.3932; 4.0528; 2.0299; 0.1616; 4.7064
180; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
180; 17; 7217; 2.392; 3.4846; -0.6407; 0.6682; 1.4135; 2.2798; 1.326
180; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
180; 41; 2650; 7.563; 0.6986; 7.558; 0.6623; 3.7733; -0.8625; 1.2249
180; 75; 55; 3.8864; 0.8607; -1.0089; -0.6865; 0.8607; -1.1196; 1.8252
180; 63; 25; 3.4702; 0.6868; 1.7819; -0.5523; 7.5429; -0.019; -0.9581
180; 77; 7866; 4.6869; -0.0464; -0.0464; -0.0464; -0.0464; 2.0819; -0.0464
185; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
185; 12; 6556; 4.8462; 0.7511; 1.1939; 0.1102; 1.2836; 0.2466; 5.2854
185; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
185; 17; 7217; 2.392; 3.4846; -0.6407; 0.6682; 1.4135; 2.2798; 1.326
185; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
185; 41; 2966; 4.9301; -1.6499; 2.6375; 0.692; 7.5532; -0.9839; -1.0218
185; 75; 195; 3.9418; -0.5199; 2.4542; 0.729; -0.6204; 0.4845; 0.6464
185; 63; 25; 3.4702; 0.6868; 1.7819; -0.5523; 7.5429; -0.019; -0.9581
185; 77; 7866; 4.6869; -0.0464; -0.0464; -0.0464; -0.0464; 2.0819; -0.0464
190; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
190; 12; 6556; 4.8462; 0.7511; 1.1939; 0.1102; 1.2836; 0.2466; 5.2854
190; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
190; 17; 7217; 2.392; 3.4846; -0.6407; 0.6682; 1.4135; 2.2798; 1.326
190; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
190; 41; 2966; 7.5524; 2.4662; 1.3445; 0.6912; 4.5244; 2.934; -0.6007
190; 75; 456; 7.3648; 1.7565; -0.9541; -0.7448; 0.4414; 5.3107; -1.4217
190; 63; 573; 0.239; 0.9759; 0.4049; 1.2483; 3.6677; 0.1507; 0.0174
190; 77; 439; 4.6869; -0.0464; -0.0464; -0.0464; -0.0464; 2.0819; -0.0464
195; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
195; 12; 6556; 4.8462; 0.7511; 1.1939; 0.1102; 1.2836; 0.2466; 5.2854
195; 15; 3294; 3.2299; 1.2788; 1.009; 0.8745; 3.7056; -0.7081; 0.419
195; 17; 7217; 2.392; 3.4846; -0.6407; 0.6682; 1.4135; 2.2798; 1.326
195; 29; 2792; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
195; 41; 3576; 2.7094; 2.1361; 0.1201; 0.7064; 1.8791; -0.6574; 0.4079
195; 75; 839; 7.5858; 1.2693; 1.8718; 3.9933; 2.7145; 5.1763; 0.4826
195; 63; 573; 4.0007; 1.1297; 2.1758; 0.7156; 3.1648; -0.6532; 1.9666
195; 77; 439; 7.3632; -0.0464; -0.0464; -0.0464; -0.0464; 2.9977; -0.0464
200; 0; 839; 7.5858; 1.2693; 1.8718; 3.9933; 2.7145; 5.1763; 0.4826
200; 12; 6556; 3.9808; 3.1387; 0.3546; 4.1192; 4.3139; -0.5915; 7.5468
200; 15; 3294; 3.0161; 3.914; 0.7442; 0.1985; 1.1772; 0.4045; 0.4029
200; 17; 7217; 2.392; 3.4846; -0.6407; 0.6682; 1.4135; 2.2798; 1.326
200; 29; 2792; 2.4508; 1.9292; 4.3234; 0.6597; 3.6135; -0.7415; 4.3446
200; 41; 3576; 5.2447; 0.8669; 4.4812; 0.7004; 2.3071; -1.636; 0.3743
200; 75; 839; 7.5858; 1.2693; 1.8718; 3.9933; 2.7145; 5.1763; 0.4826
200; 63; 3576; 5.5366; 0.9594; 4.7268; 0.6848; 0.7467; 1.981; -0.5393
200; 77; 439; 2.3709; 1.0383; 0.5417; 0.2653; 1.0521; 1.4068; 0.1333
