gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
190; 51; 213; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
190; 44; 3108; -1.2828; 0.8456; 0.9608; -2.2013; 2.1325; -3.8189; 0.7682
190; 47; 2264; 1.8954; -2.325; -0.0865; 1.3363; 1.9473; -3.6153; 1.6255
190; 71; 378; 2.1069; -2.5978; 0.6679; -2.9172; -2.5978; -0.0559; -3.0011
190; 65; 1510; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
190; 66; 2591; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
195; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
195; 4; 2090; -3.6744; 0.3599; -1.148; -0.0247; -0.793; -1.4496; -1.2379
195; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
195; 9; 2090; 4.7077; 0.6906; 0.5257; 7.4576; 3.2299; -3.9212; -2.3108
195; 36; 2090; 0.0265; 1.0; -0.2671; 0.725; 1.1454; -1.6943; -1.7478
195; 28; 2090; 0.3048; -0.0177; -2.8087; 3.9669; 2.2136; -0.0968; -2.6895
195; 29; 2090; 0.354; 0.7436; -3.8989; -2.3047; 0.7436; -3.171; 1.6539
195; 51; 213; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
195; 44; 3377; 0.7546; 7.4635; -0.6499; -2.1749; 5.4094; -0.9594; -0.8322
195; 47; 2264; 1.8954; -2.325; -0.0865; 1.3363; 1.9473; -3.6153; 1.6255
195; 71; 684; -4.9107; 1.9491; -0.9967; -2.0009; 3.7733; -2.5865; 4.0878
195; 65; 1510; 1.8954; -2.3295; 0.7104; -3.5818; 1.5383; -1.4217; 1.5434
195; 66; 2591; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
200; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
200; 4; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 15; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 9; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 36; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 28; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 29; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 51; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 44; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 47; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 71; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 65; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
200; 66; 1162; 0.0; 7.6514; 7.6514; 7.6514; 7.6514; 0.0006; 7.6514
